u_id,p_id,name,ccv,ccnumber,exp_date
CUST00000,PAY00000,Michael Schmidt,480,2275470631901617,12.28
CUST00001,PAY00001,Gina Chapman,104,3562054846415066,2.27
CUST00002,PAY00002,Amber Lee,520,4390938873011261,2.27
CUST00003,PAY00003,James Lopez,145,378853777442431,2.29
CUST00004,PAY00004,Joshua Walters,250,3552096245226869,1.26
CUST00005,PAY00005,Nancy Lamb,719,341995052538526,3.27
CUST00006,PAY00006,Miss Jacqueline Dawson,645,4368336019635859,5.27
CUST00007,PAY00007,Jennifer Bright,687,4711758503054,7.26
CUST00008,PAY00008,Beverly Hopkins,590,6524725866105204,6.25
CUST00009,PAY00009,Amy Jackson,378,371355952201324,4.27
CUST00010,PAY00010,Jordan Moore,899,371383977950436,1.26
CUST00011,PAY00011,Justin Murphy,519,3533910785566605,5.26
CUST00012,PAY00012,Brooke Robinson,152,180060630202519,3.3
CUST00013,PAY00013,Anna Sanders,797,3575348266174160,1.3
CUST00014,PAY00014,Susan Reyes,124,4910653838173,4.27
CUST00015,PAY00015,Mrs. Jessica Larsen,393,30316186571570,12.27
CUST00016,PAY00016,Jennifer Roberts,472,4907010697011,8.27
CUST00017,PAY00017,John Smith,644,30584324943338,7.26
CUST00018,PAY00018,Patrick Gay,454,4314393989943214,5.27
CUST00019,PAY00019,Michael Morris,575,4554375629864,12.26
CUST00020,PAY00020,Kenneth Wood,476,630469941300,12.25
CUST00021,PAY00021,Michelle Miller,018,3550961170449814,4.3
CUST00022,PAY00022,Joseph Johnson,870,213163025703736,1.26
CUST00023,PAY00023,Lisa Franklin,758,4864982453814119,9.28
CUST00024,PAY00024,Gary Johnson,748,6011619677640436,4.29
CUST00025,PAY00025,Taylor Ward,441,3542989594448246,6.29
CUST00026,PAY00026,Michael James,757,213127764045666,6.25
CUST00027,PAY00027,Donna Valenzuela,247,573398993077,3.26
CUST00028,PAY00028,Kimberly Reynolds,738,4430393074547747,12.26
CUST00029,PAY00029,Diane Lee,899,36811674594393,12.29
CUST00030,PAY00030,Lisa Mercer,954,2291467941278207,11.28
CUST00031,PAY00031,Susan Davidson,464,30298038384701,5.3
CUST00032,PAY00032,Dustin Day,937,4799733761772,1.28
CUST00033,PAY00033,Austin Richardson,478,370560112124487,12.28
CUST00034,PAY00034,Tammy Peterson,608,6011516320959959,4.3
CUST00035,PAY00035,Caroline Burgess,534,4160547609117564,1.27
CUST00036,PAY00036,Mark Casey,094,6011798630907387,11.28
CUST00037,PAY00037,Deborah Cherry,678,4410927312642,5.26
CUST00038,PAY00038,Cesar Burnett,834,4131986442613,7.27
CUST00039,PAY00039,Daniel Rodriguez,373,30457246552844,6.27
CUST00040,PAY00040,Elizabeth Mack,213,30549921752952,2.28
CUST00041,PAY00041,Lisa Wu,289,4167505568934,5.3
CUST00042,PAY00042,Robert Booth,375,6011215217213378,2.27
CUST00043,PAY00043,Andrew Rhodes,975,4535442643767434,10.27
CUST00044,PAY00044,Jamie Schmitt,339,3502798732982224,8.27
CUST00045,PAY00045,Lisa Mcneil,459,3509640528805172,5.25
CUST00046,PAY00046,Sarah Patel,719,348217995852390,1.28
CUST00047,PAY00047,Raymond Young,089,4646814677587384,8.29
CUST00048,PAY00048,Angela Vargas,645,378010627820668,12.25
CUST00049,PAY00049,Mrs. Amanda Smith,624,30458810528947,11.27
CUST00050,PAY00050,Alexandra Greene,020,3575941863130807,3.3
CUST00051,PAY00051,Craig Johnson,995,4350638239635552,5.27
