id,name,minit,lname,country,points,phone,bdate,sex
CUST00000,Sharon,N,Bradley,Luxembourg,178,99062137215,1997-07-19,F
CUST00001,Anthony,R,Salazar,Bouvet Island (Bouvetoya),6516,23975526830,1996-02-22,M
CUST00002,Bryce,Y,Allen,Tonga,1767,31643764743,1976-05-04,F
CUST00003,Patricia,C,Martinez,Portugal,711,74327223448,1958-06-23,F
CUST00004,Eddie,B,Thomas,Botswana,3038,56662340212,1974-10-14,F
CUST00005,Jason,F,Martinez,Belize,9894,69367179094,1971-07-24,M
CUST00006,Tara,U,Price,Guatemala,4879,79350452890,1983-08-28,F
CUST00007,Joseph,D,Cook,Andorra,9612,82238738133,1955-12-10,F
CUST00008,Chad,I,Wilson,Botswana,3583,04227456966,1986-01-13,M
CUST00009,Steven,G,Harrington,Latvia,6672,13929583675,1978-07-03,F
CUST00010,Gary,Z,Rodriguez,Papua New Guinea,4481,63412940817,1988-04-22,M
CUST00011,Jessica,K,Clements,Lithuania,5919,25955308444,2004-01-24,F
CUST00012,Frank,F,Larson,Finland,6057,23187394043,2003-06-08,M
CUST00013,Christian,Y,Scott,Netherlands,3099,13725354158,1991-11-02,F
CUST00014,Jeffrey,T,Taylor,Cuba,3890,29783971537,1986-05-06,F
CUST00015,Lauren,T,Petty,Saint Helena,1988,38639111651,1979-09-14,F
CUST00016,Maria,J,Jones,Cote d'Ivoire,7298,21305789489,1981-03-11,F
CUST00017,Christina,A,Sanchez,British Virgin Islands,5159,29598803202,1988-07-08,F
CUST00018,David,E,Herrera,Guadeloupe,3214,69285967794,1976-02-23,M
CUST00019,Rebecca,I,Campbell,Isle of Man,4524,70008923749,1985-06-25,M
CUST00020,Heather,N,Chambers,Ecuador,31,88602250598,1984-08-22,M
CUST00021,Rachel,V,George,Cayman Islands,9550,62121948937,1997-03-15,M
CUST00022,Jeremy,D,Gardner,Saint Pierre and Miquelon,486,37792098066,1999-05-18,M
CUST00023,Carol,Y,Tucker,United Kingdom,2653,65744399446,1964-02-18,M
CUST00024,Jasmine,U,Bradley,Portugal,1013,64986820845,1996-10-10,F
CUST00025,Alex,L,Barnett,Jamaica,4128,35294170721,2001-05-16,M
CUST00026,Melissa,H,Jackson,Oman,5391,21689593603,1985-09-25,F
CUST00027,Andre,E,Friedman,Costa Rica,8035,53979985157,2001-09-18,M
CUST00028,Amy,I,Peck,Heard Island and McDonald Islands,9896,84540940764,1986-03-27,M
CUST00029,Steven,L,Kelley,Slovakia (Slovak Republic),2830,84240151037,1998-03-07,M
CUST00030,Amy,Q,Olson,Vanuatu,4654,27245289614,1963-12-30,M
CUST00031,Kayla,J,White,Grenada,8563,56706653815,1987-06-30,F
CUST00032,Stephanie,D,Sutton,Belgium,6502,45927412636,1966-08-25,M
CUST00033,Valerie,R,King,British Virgin Islands,3813,81823392974,1956-10-28,F
CUST00034,Tyler,O,Singleton,Central African Republic,8834,62849601387,2005-01-13,F
CUST00035,Douglas,O,Ponce,Comoros,2057,92120761027,1980-11-16,F
CUST00036,Antonio,Z,Rivera,Tunisia,2302,64457273649,1986-10-27,F
CUST00037,Richard,G,Coffey,Liechtenstein,7719,94855961965,1974-04-25,M
CUST00038,Maria,W,Gibbs,Cook Islands,9617,03093355576,1992-10-05,F
CUST00039,Bobby,M,Parker,Northern Mariana Islands,254,42716473683,1999-11-05,F
CUST00040,Elizabeth,L,Fox,United States Minor Outlying Islands,6515,22756990850,1993-05-08,M
CUST00041,Kimberly,Z,Alexander,Netherlands,6532,06488545787,1994-12-26,M
CUST00042,Jennifer,B,Moody,Cyprus,9406,60308334331,1998-05-04,M
CUST00043,Edward,X,Hernandez,Bouvet Island (Bouvetoya),7412,50468120263,2005-12-31,F
CUST00044,Michael,Z,Sims,Barbados,610,78195513288,1994-11-20,M
CUST00045,Anthony,B,Gardner,Malta,9254,26175760096,1977-08-05,F
CUST00046,Thomas,K,Goodwin,Fiji,3598,02671173702,2006-05-12,F
CUST00047,Angela,T,Morgan,Mayotte,9794,80200849178,1974-05-30,M
CUST00048,Amanda,K,Solis,Cocos (Keeling) Islands,1103,87067913695,1990-12-09,M
CUST00049,Melissa,Y,Summers,Belarus,8277,11990738883,1976-08-12,F
CUST00050,Emily,P,Fisher,Namibia,4759,43207816798,1961-09-08,M
CUST00051,Dawn,I,Sims,Samoa,2137,47816546103,1994-09-11,F
CUST00052,Craig,M,Anderson,Cambodia,2756,53997996861,1989-05-07,M
CUST00053,Evan,X,Russell,Czech Republic,2466,33564038099,1983-09-28,M
CUST00054,Amy,G,Hunter,Wallis and Futuna,706,70550801164,1963-01-09,F
CUST00055,Sheila,P,Daniels,Qatar,3383,75164992236,1957-07-13,F
CUST00056,Sherry,S,Mccarthy,Christmas Island,2996,91233705042,1994-03-04,M
CUST00057,Michael,F,Morton,Ecuador,7485,51679222303,1978-03-15,F
CUST00058,Shannon,C,Duncan,Chad,8810,20664936070,2003-04-12,M
CUST00059,Richard,E,Wagner,Senegal,5454,24760924182,1960-05-08,M
CUST00060,Tony,Q,King,Algeria,155,17975526373,2007-03-26,F
CUST00061,John,I,Stewart,Armenia,2213,26722439735,1973-03-30,F
CUST00062,Mary,K,Black,Malta,6071,91316208468,1995-11-08,M
CUST00063,Cheyenne,Q,Turner,Germany,5558,22157158758,1997-05-29,F
CUST00064,William,K,Black,Holy See (Vatican City State),3659,54350180908,1989-01-23,F
CUST00065,Jonathan,Q,Jimenez,Iraq,6565,58597772057,1984-04-11,M
CUST00066,Holly,Q,Bryant,Isle of Man,6663,83352281653,1967-08-22,F
CUST00067,Erin,K,Vasquez,Aruba,6074,53496162217,1976-12-09,F
CUST00068,Megan,U,Franco,Angola,9896,63491433232,1956-05-30,F
CUST00069,Howard,E,Mitchell,Guyana,4773,97146667472,1975-01-20,F
CUST00070,Rebecca,D,May,Wallis and Futuna,2299,41888844606,1984-12-01,F
CUST00071,Aaron,E,Vargas,Mali,8010,94236065867,1974-08-31,M
CUST00072,Jason,F,Hopkins,Lebanon,382,68101556652,1977-09-25,F
CUST00073,Janet,M,Frazier,Costa Rica,6020,93800417431,2005-07-25,M
CUST00074,Joseph,K,Hernandez,Jersey,412,09810303107,1986-11-09,F
CUST00075,Christopher,W,Coleman,Indonesia,5078,63269970093,1987-05-12,F
CUST00076,Timothy,Q,Mckay,Moldova,1346,46817741405,1988-07-28,M
CUST00077,Brittany,X,Perez,American Samoa,2985,11818029304,1958-04-25,M
CUST00078,Catherine,W,Patel,South Georgia and the South Sandwich Islands,2382,14495035024,1967-06-01,F
CUST00079,Andrew,M,Moore,Central African Republic,9760,16996446779,1974-04-10,M
CUST00080,Michelle,K,Smith,Austria,7624,57763356276,1996-12-16,F
CUST00081,Michael,Q,Andrews,Saudi Arabia,2742,65562995616,1957-05-19,F
CUST00082,Jerry,K,Fowler,El Salvador,3015,79083845137,2001-10-30,M
CUST00083,Wendy,X,Sanchez,Mali,7269,61699089508,1990-03-18,F
CUST00084,William,W,Ross,Burkina Faso,6990,84216950051,1983-12-24,M
CUST00085,Kristen,U,Reed,Lao People's Democratic Republic,7478,61533070764,1987-08-26,M
CUST00086,Paul,A,White,Switzerland,9513,87850406594,1968-11-06,F
CUST00087,Melinda,N,Johnson,Micronesia,511,11605115313,1994-07-29,F
CUST00088,Melinda,A,Lam,Falkland Islands (Malvinas),3044,16316035512,1981-10-10,F
CUST00089,Kristina,F,Castillo,Brazil,5204,37616464286,1991-05-17,M
CUST00090,Briana,K,Johnson,San Marino,1436,51605960111,1970-08-05,M
CUST00091,Nathan,M,Barnes,French Guiana,6530,71352776267,1971-12-26,M
CUST00092,Samuel,N,Buck,Korea,100,61207893812,1954-10-19,F
CUST00093,Sharon,E,Ritter,Malawi,9782,36690724284,2003-02-20,M
CUST00094,Kimberly,V,Price,Netherlands Antilles,9204,80122622007,1962-05-07,F
CUST00095,Allison,F,Hawkins,Jordan,6506,44930944472,2005-10-17,F
CUST00096,Susan,D,Williams,French Southern Territories,9900,63508593690,1988-12-20,M
CUST00097,Elizabeth,O,Flores,Denmark,785,86410224796,2002-02-12,F
CUST00098,Francis,M,Thompson,Kenya,3958,92187909702,1996-04-08,M
CUST00099,Jennifer,W,Gutierrez,Lithuania,6006,05486700559,1966-11-03,F
CUST00100,Regina,I,Brown,Mexico,2986,50022555872,2000-05-01,F
CUST00101,Zachary,H,Johnson,France,9479,69118228060,1981-06-17,F
CUST00102,Amy,E,Ferrell,Tanzania,5451,23312440870,1964-04-28,M
CUST00103,Gary,Q,Miller,Fiji,4494,63721403854,1955-05-20,M
CUST00104,Danielle,Y,Alexander,Yemen,5699,04828965801,1977-02-16,F
CUST00105,Amanda,V,Carr,Moldova,3474,77924498620,2005-02-04,F
CUST00106,Rebecca,B,Patterson,Tuvalu,1762,40248891623,1969-03-05,M
CUST00107,Nicholas,K,Allison,Saint Barthelemy,78,31040025397,1979-01-23,F
CUST00108,Jennifer,O,Hawkins,Monaco,4232,16030108884,1978-07-26,F
CUST00109,Carolyn,G,Casey,Brunei Darussalam,3213,47938839640,2006-02-19,M
CUST00110,Kaitlyn,V,Davis,Cuba,6045,85604064962,1967-08-19,M
CUST00111,Rose,I,Miller,Mauritania,6211,62021479592,1998-10-15,F
CUST00112,Yvonne,F,Lyons,Western Sahara,8702,93454491208,1955-08-19,F
CUST00113,Nichole,I,Moon,Jersey,2988,09840480210,1983-08-07,F
CUST00114,Phyllis,B,Moreno,Grenada,6105,45163637080,1999-09-01,M
CUST00115,Patrick,Y,Williams,Guadeloupe,5791,98380232327,1988-08-14,F
CUST00116,Todd,N,Brown,Belarus,2809,26054359268,2007-04-22,F
CUST00117,Heather,O,Morrison,Indonesia,3331,64657289617,1985-11-28,M
CUST00118,Jose,W,Roberts,Argentina,6494,38434250732,1989-03-07,M
CUST00119,Michelle,H,Meyers,Indonesia,6274,94472440841,1989-11-26,M
CUST00120,Desiree,Y,Wilkerson,Colombia,6530,18473654474,1955-05-24,F
CUST00121,Michael,S,Krueger,Bouvet Island (Bouvetoya),2470,23863805756,1974-05-17,M
CUST00122,Dan,C,Buckley,Thailand,7882,90245375466,1957-03-18,M
CUST00123,Dawn,K,Anderson,Aruba,9484,99720347697,1987-05-04,F
CUST00124,Kevin,T,Lawson,Burundi,959,06097583690,1960-04-23,M
CUST00125,Joshua,W,Hernandez,Saudi Arabia,841,06080435127,1956-01-25,F
CUST00126,Steven,T,Clark,Suriname,2944,86429430912,1978-12-29,F
CUST00127,Timothy,K,Callahan,French Southern Territories,5244,42950630775,1996-04-28,M
CUST00128,Karen,T,Long,Ireland,8075,76337060630,1975-11-11,M
CUST00129,Andrew,E,Jordan,Northern Mariana Islands,7047,64537953057,2005-11-14,F
CUST00130,Austin,N,Mendez,Namibia,1414,27365017649,1992-05-17,M
CUST00131,Melissa,F,Allen,Saint Lucia,9573,68226271720,1957-03-23,M
CUST00132,Brandon,L,Jensen,Guinea-Bissau,9949,73678333760,1960-05-12,F
CUST00133,Nicholas,X,Smith,Palestinian Territory,382,95340456942,1966-11-08,F
CUST00134,Nicole,G,Callahan,Brunei Darussalam,427,70317661898,1982-09-28,M
CUST00135,Jeffrey,Q,Thompson,Bouvet Island (Bouvetoya),2555,80961389024,1996-10-31,M
CUST00136,Stephanie,R,Garcia,Puerto Rico,7431,47264325509,1968-01-08,M
CUST00137,Chelsea,Z,Neal,Brazil,7141,96764566807,1995-12-04,M
CUST00138,Dustin,U,Levy,Lesotho,585,03458371106,1975-03-02,M
CUST00139,Maria,T,Browning,Bolivia,6162,49731532420,1978-07-16,M
CUST00140,Jesus,X,Turner,Ukraine,3853,38710733488,1979-05-09,M
CUST00141,Stephen,D,Davis,Jamaica,2453,91338535123,1962-07-28,F
CUST00142,Christopher,X,Oliver,Lebanon,7575,90833279712,2005-04-26,M
CUST00143,Tanya,Y,Murphy,Palau,510,46967121846,1989-09-18,F
CUST00144,Brad,F,Williams,Central African Republic,1792,70585996182,1963-03-06,F
CUST00145,Jeffrey,N,Harrington,Cyprus,3806,35047190590,1964-06-13,F
CUST00146,Erica,S,Coleman,Kiribati,4219,15208798046,1993-03-13,F
CUST00147,Jessica,J,Walsh,Korea,3864,78066824596,1971-10-13,F
CUST00148,Jessica,L,Baker,Uruguay,5586,09175259372,1983-09-14,M
CUST00149,Katelyn,Y,Campbell,South Africa,8085,58947010190,2003-08-24,M
CUST00150,Tina,Y,Gillespie,Macao,2420,83512093006,1996-03-11,F
CUST00151,Jill,Q,Lloyd,Nepal,1181,01180387228,1994-12-02,F
CUST00152,Jill,S,Horn,Belize,2513,31226533616,1965-08-29,M
CUST00153,Rebecca,R,Boyd,Bhutan,8148,10668459279,1971-05-08,F
CUST00154,Kristine,J,Rodriguez,Malawi,152,99699984779,1982-12-30,F
CUST00155,Roberto,L,Cox,Bermuda,5400,45364482223,2004-01-30,F
CUST00156,Erica,V,Ruiz,Poland,8783,83792426994,1976-10-05,M
CUST00157,Lori,U,Ashley,Lesotho,6176,48133097017,1985-05-05,M
CUST00158,Gary,A,Salazar,Luxembourg,8624,20562532064,1979-08-06,M
CUST00159,Ashley,O,Bell,Tonga,970,10333028153,1964-11-06,M
CUST00160,Lisa,T,Barnes,Liberia,6393,23320500631,2007-03-06,M
CUST00161,Tony,Q,Rose,Albania,2643,29868132082,1984-05-22,F
CUST00162,Jordan,R,Lin,Portugal,7927,90043960259,1970-11-05,F
CUST00163,Jessica,D,Freeman,Serbia,9110,42207793777,1977-09-03,F
CUST00164,Denise,W,Wilson,Maldives,7929,39405429291,1965-05-12,F
CUST00165,Diane,T,Frost,Saint Kitts and Nevis,6368,51485981122,1957-12-18,F
CUST00166,Catherine,O,Charles,Timor-Leste,3922,89739240234,1978-12-11,M
CUST00167,Christopher,Z,Cooper,Greenland,9422,90353508039,1983-12-03,M
CUST00168,Robert,B,Powers,Gibraltar,2391,21512374384,1992-09-16,F
CUST00169,Kristina,U,Callahan,Slovenia,7881,19339747283,1973-12-01,F
CUST00170,Eric,L,Aguilar,Venezuela,450,73561155372,1967-09-10,F
CUST00171,Erin,F,Castillo,Luxembourg,1215,84848599816,1968-12-02,F
CUST00172,Tamara,M,Patterson,Papua New Guinea,2554,62180327014,1984-05-20,M
CUST00173,Robert,Q,Saunders,Tokelau,7685,35675175819,1994-08-04,M
CUST00174,Julie,O,Cline,Ghana,5209,58406291309,1996-09-14,F
CUST00175,Donna,A,Williams,Ethiopia,7077,10010951478,1959-08-17,M
CUST00176,Jason,B,Hayes,Russian Federation,5508,04541120941,1985-07-21,F
CUST00177,Robert,C,Gregory,Botswana,3164,93239510103,1995-10-09,M
CUST00178,John,N,Carr,Poland,3978,53729165645,1992-11-02,F
CUST00179,Michelle,R,Payne,Eritrea,8476,64255820589,1994-10-07,M
CUST00180,Jacob,D,Phelps,Saint Lucia,4343,21791703367,1976-04-13,M
CUST00181,Matthew,Q,Hampton,United States Virgin Islands,2150,93443893504,1987-05-09,F
CUST00182,Anita,W,Cummings,Iran,5733,20887610849,1970-06-18,M
CUST00183,Travis,E,Cisneros,Vanuatu,8662,31827660001,1992-05-14,M
CUST00184,William,S,Ramirez,Niger,4161,26578411447,1988-03-28,F
CUST00185,Timothy,Y,Sanchez,Equatorial Guinea,5781,86009110460,1976-12-20,F
CUST00186,Laura,X,Miller,Denmark,8001,44953218124,1972-05-15,F
CUST00187,Jill,Z,Shaw,Brunei Darussalam,1289,15187879727,1988-11-21,F
CUST00188,Debra,J,Lowe,Cuba,8055,33784359918,1970-05-08,F
CUST00189,Melinda,V,Thomas,Guinea-Bissau,5964,03665704026,1986-04-19,M
CUST00190,Kevin,X,Dunn,Saint Barthelemy,4373,87600918128,1984-02-03,M
CUST00191,Angela,K,Cruz,Norway,9884,72001646173,1980-11-05,M
