u_id,log_id,sp_id,sp_shop_id,order_id,status,date,address,payer_id,pay_id,pay_amount,refer_id,coupon,amount
CUST00745,LOGI0021,P00202,SHOP0347,ORD00000,completed,2025-04-09,"2541 Katie Lights Apt. 331, Jenniferborough, PA 46031",CUST00745,PAY00745,322,,WELCOME5,1
CUST00358,LOGI0044,P00778,SHOP0218,ORD00001,completed,2025-02-05,"USNS Edwards, FPO AP 83751",CUST00358,PAY00358,281,,WELCOME5,3
CUST00454,LOGI0030,P00036,SHOP0496,ORD00002,carted,2025-02-06,"10734 Aguirre Common Suite 656, Suzannehaven, SD 25478",CUST00454,PAY00454,219,AFF00106,,2
CUST00273,LOGI0020,P00523,SHOP0173,ORD00003,completed,2025-03-06,"9412 Melody Crescent Apt. 454, Suzanneburgh, SC 92948",CUST00273,PAY00273,51,AFF00120,,2
CUST00886,LOGI0014,P00468,SHOP0255,ORD00004,carted,2025-05-03,"80254 Wagner Well, Nicholsonport, MA 87498",CUST00886,PAY00886,360,,WELCOME5,5
CUST00603,LOGI0023,P00597,SHOP0442,ORD00005,cancelled,2025-03-26,"PSC 6426, Box 9357, APO AP 07738",CUST00603,PAY00603,164,,DISC10,5
CUST00095,LOGI0030,P00319,SHOP0255,ORD00006,refunded,2025-04-28,"49322 Valdez Coves Suite 034, Brownchester, AZ 58004",CUST00095,PAY00095,348,,,2
CUST00580,LOGI0001,P00270,SHOP0116,ORD00007,cancelled,2025-03-20,"42795 Perez Parkways, North James, CT 09170",CUST00580,PAY00580,325,,WELCOME5,1
CUST00784,LOGI0024,P00227,SHOP0107,ORD00008,cancelled,2025-01-17,"03723 Courtney Mountains Suite 871, South Brendabury, NV 66400",CUST00784,PAY00784,450,,,1
CUST00047,LOGI0036,P00020,SHOP0171,ORD00009,cancelled,2025-03-18,"618 Jeremy Circle, Josephfort, FL 69097",CUST00047,PAY00047,327,AFF00196,,4
CUST00311,LOGI0040,P00389,SHOP0154,ORD00010,completed,2025-01-15,"3976 Soto Centers Suite 127, Dannyborough, ME 28087",CUST00311,PAY00311,92,,DISC10,2
CUST00708,LOGI0001,P00111,SHOP0458,ORD00011,refunded,2025-04-07,"306 Adkins Mountain Apt. 140, Skinnermouth, CO 15061",CUST00708,PAY00708,271,,,1
CUST00244,LOGI0001,P00666,SHOP0377,ORD00012,carted,2025-03-21,"102 Alicia Lane Apt. 137, North Kenneth, PW 78879",CUST00244,PAY00244,312,,DISC10,1
CUST00261,LOGI0015,P00934,SHOP0482,ORD00013,completed,2025-03-25,"Unit 0945 Box 3476, DPO AP 25314",CUST00261,PAY00261,483,,,1
CUST00461,LOGI0011,P00638,SHOP0236,ORD00014,refunded,2025-03-27,"9179 Kimberly Island Apt. 292, Carrollbury, DE 97491",CUST00461,PAY00461,357,,DISC10,1
CUST00601,LOGI0026,P00484,SHOP0156,ORD00015,carted,2025-01-20,"29708 Joshua Underpass, Lake Colleenfort, RI 86195",CUST00601,PAY00601,47,AFF00022,DISC10,2
CUST00747,LOGI0043,P00929,SHOP0174,ORD00016,cancelled,2025-01-14,"PSC 9050, Box 7055, APO AE 34787",CUST00747,PAY00747,387,AFF00120,WELCOME5,5
CUST00019,LOGI0014,P00223,SHOP0493,ORD00017,refunded,2025-01-25,"45274 Sheri Street Apt. 434, New Coltonview, NH 04292",CUST00019,PAY00019,497,AFF00126,DISC10,1
CUST00311,LOGI0014,P00438,SHOP0271,ORD00018,carted,2025-03-31,"3976 Soto Centers Suite 127, Dannyborough, ME 28087",CUST00311,PAY00311,313,,WELCOME5,2
CUST00504,LOGI0018,P00996,SHOP0022,ORD00019,completed,2025-01-08,"137 Angela Centers, North Christianhaven, NH 80783",CUST00504,PAY00504,287,,DISC10,4
CUST00172,LOGI0013,P00575,SHOP0431,ORD00020,carted,2025-01-14,"814 Brian Divide, Garyhaven, MN 47136",CUST00172,PAY00172,443,AFF00046,WELCOME5,5
CUST00711,LOGI0000,P00222,SHOP0257,ORD00021,completed,2025-01-20,"162 Brittany Radial Suite 348, North Jeffrey, MA 25416",CUST00711,PAY00711,80,,DISC10,5
CUST00297,LOGI0011,P00210,SHOP0174,ORD00022,carted,2025-02-14,"30443 Lewis Station, North Jonathan, RI 83918",CUST00297,PAY00297,371,AFF00260,WELCOME5,3
CUST00316,LOGI0022,P00416,SHOP0486,ORD00023,completed,2025-04-13,"01802 Carlson Fields, South Jessica, PR 00519",CUST00316,PAY00316,106,,WELCOME5,3
CUST00923,LOGI0012,P00681,SHOP0169,ORD00024,cancelled,2025-05-01,"027 Richard Walks, Farrellhaven, NV 89652",CUST00923,PAY00923,451,,WELCOME5,5
CUST00183,LOGI0015,P00783,SHOP0414,ORD00025,carted,2025-01-04,"Unit 7016 Box 4591, DPO AA 13689",CUST00183,PAY00183,127,,DISC10,1
CUST00595,LOGI0005,P00849,SHOP0154,ORD00026,completed,2025-02-11,"9839 Joseph Mills Suite 138, Bishopburgh, AL 37369",CUST00595,PAY00595,103,AFF00082,WELCOME5,1
CUST00290,LOGI0013,P00520,SHOP0088,ORD00027,carted,2025-03-02,"67022 Nina Forks Suite 551, Jordanview, CT 61315",CUST00290,PAY00290,446,AFF00072,WELCOME5,3
CUST00104,LOGI0017,P00901,SHOP0431,ORD00028,refunded,2025-02-10,"134 Michelle Coves Apt. 693, Port William, NE 78419",CUST00104,PAY00104,225,,WELCOME5,1
CUST00223,LOGI0023,P00358,SHOP0481,ORD00029,cancelled,2025-01-14,"971 Miller Pass, Staciemouth, AK 18032",CUST00223,PAY00223,148,,WELCOME5,4
CUST00487,LOGI0048,P00072,SHOP0432,ORD00030,carted,2025-04-25,"93686 Felicia Court Suite 633, East Tarahaven, MS 86821",CUST00487,PAY00487,410,AFF00114,WELCOME5,2
CUST00537,LOGI0019,P00095,SHOP0160,ORD00031,refunded,2025-03-12,"164 Emma Shores Apt. 587, Bellchester, CT 82479",CUST00537,PAY00537,43,,WELCOME5,4
CUST00692,LOGI0023,P00904,SHOP0443,ORD00032,carted,2025-01-23,"776 Griffith Summit, Lake Nancyfort, NV 65651",CUST00692,PAY00692,233,,,5
CUST00286,LOGI0020,P00174,SHOP0030,ORD00033,refunded,2025-03-03,"928 Chang Square Apt. 525, West Maria, AZ 93246",CUST00286,PAY00286,473,,DISC10,3
CUST00421,LOGI0020,P00740,SHOP0433,ORD00034,completed,2025-04-02,"305 Anthony Center, Wilsonview, KY 22461",CUST00421,PAY00421,228,,WELCOME5,2
CUST00852,LOGI0001,P00622,SHOP0260,ORD00035,completed,2025-04-16,"PSC 0870, Box 1703, APO AP 60215",CUST00852,PAY00852,248,,DISC10,5
CUST00940,LOGI0012,P00482,SHOP0295,ORD00036,cancelled,2025-02-14,"20567 Benton Avenue Apt. 326, Kevinstad, AR 93549",CUST00940,PAY00940,285,,DISC10,1
CUST00446,LOGI0004,P00596,SHOP0231,ORD00037,refunded,2025-04-01,"PSC 4954, Box 9545, APO AA 76201",CUST00446,PAY00446,393,AFF00186,DISC10,5
CUST00137,LOGI0012,P00849,SHOP0154,ORD00038,carted,2025-01-24,"75715 Julie Mill, Schroederhaven, ND 36841",CUST00137,PAY00137,323,,DISC10,1
CUST00151,LOGI0006,P00986,SHOP0143,ORD00039,completed,2025-03-31,"77036 David Spur, Lake Lori, CA 98548",CUST00151,PAY00151,494,,DISC10,3
